,expirationDate,call-closingPrice,call-bid,call-ask,call-volume,call-openInterest,symbol,strikePrice,put-closingPrice,put-bid,put-ask,put-volume,put-openInterest
0,"Jun 07, 2019",2.06,,,0,0,XLF,25.0,0.01,,,0,4153
1,"Jun 07, 2019",1.64,,,0,0,XLF,25.5,0.01,,,0,13730
2,"Jun 07, 2019",1.13,,,0,0,XLF,26.0,0.01,,,0,24588
3,"Jun 07, 2019",0.63,,,0,0,XLF,26.5,0.01,,,0,19974
4,"Jun 07, 2019",0.09,,,0,18,XLF,27.0,0.01,,,0,9963
5,"Jun 07, 2019",0.01,,,0,10342,XLF,27.5,0.39,,,0,0
6,"Jun 07, 2019",0.01,,,0,271,XLF,28.0,0.82,,,0,0
7,"Jun 07, 2019",0.01,,,0,1024,XLF,28.5,1.72,,,0,0
8,"Jun 07, 2019",0.02,,,0,103,XLF,29.0,2.22,,,0,0
9,"Jun 07, 2019",0.01,,,0,38,XLF,29.5,,,,0,0
10,"Jun 07, 2019",,,,0,0,XLF,30.0,,,,0,0
11,"Jun 14, 2019",2.16,2.35,2.43,0,729,XLF,25.0,0.01,,0.02,0,196
12,"Jun 14, 2019",2.03,1.85,1.92,576,342,XLF,25.5,0.02,,0.05,4,1227
13,"Jun 14, 2019",1.46,1.35,1.42,506,1210,XLF,26.0,0.01,,0.01,30,5283
14,"Jun 14, 2019",0.97,0.87,0.94,374,9142,XLF,26.5,0.02,0.02,0.03,180,3205
15,"Jun 14, 2019",0.46,0.44,0.5,2091,1685,XLF,27.0,0.09,0.09,0.1,7534,8270
16,"Jun 14, 2019",0.18,0.14,0.18,575,1136,XLF,27.5,0.28,0.25,0.29,137,2349
17,"Jun 14, 2019",0.03,0.01,0.07,1406,13503,XLF,28.0,0.59,0.62,0.68,2262,2950
18,"Jun 14, 2019",0.01,,0.04,210,43,XLF,28.5,1.08,1.09,1.17,136,0
19,"Jun 14, 2019",0.01,,0.01,13,76,XLF,29.0,1.95,1.41,1.79,0,0
20,"Jun 14, 2019",0.07,,0.03,0,20,XLF,29.5,,2.04,2.41,0,0
21,"Jun 14, 2019",0.04,,0.02,0,10,XLF,30.0,2.57,2.58,2.67,1,0
22,"Jun 21, 2019",2.45,2.36,2.43,356,11403,XLF,25.0,0.03,,0.02,244,93298
23,"Jun 21, 2019",1.97,1.8,1.94,703,768,XLF,25.5,0.02,0.02,0.06,4,2043
24,"Jun 21, 2019",1.45,1.4,1.46,505,36016,XLF,26.0,0.05,0.05,0.07,841,113343
25,"Jun 21, 2019",1.05,0.96,1.02,1418,1664,XLF,26.5,0.12,0.11,0.14,3348,10859
26,"Jun 21, 2019",0.57,0.55,0.62,553,60655,XLF,27.0,0.25,0.23,0.26,4072,155999
27,"Jun 21, 2019",0.3,0.25,0.32,5444,7511,XLF,27.5,0.43,0.45,0.49,47,1184
28,"Jun 21, 2019",0.1,0.08,0.12,17296,113834,XLF,28.0,0.76,0.79,0.85,119,13105
29,"Jun 21, 2019",0.03,0.01,0.05,89,325,XLF,28.5,1.12,1.22,1.29,548,2755
30,"Jun 21, 2019",0.01,,0.01,64,170192,XLF,29.0,1.68,1.71,1.78,54,5676
31,"Jun 21, 2019",,,0.11,0,0,XLF,29.5,2.1,2.19,2.28,2,174
32,"Jun 21, 2019",0.01,,0.01,0,17814,XLF,30.0,2.64,2.7,2.78,10,1536
33,"Jun 28, 2019",2.45,2.36,2.47,143,459,XLF,25.0,0.05,0.03,0.09,3,4376
34,"Jun 28, 2019",1.53,1.42,1.5,6,2088,XLF,26.0,0.1,0.09,0.13,74,3150
35,"Jun 28, 2019",0.65,0.6,0.66,245,10344,XLF,27.0,0.3,0.3,0.35,4790,18008
36,"Jun 28, 2019",0.14,0.12,0.15,2134,18672,XLF,28.0,0.83,0.81,0.95,1250,1182
37,"Jun 28, 2019",0.02,0.01,0.02,140,34966,XLF,29.0,3.06,1.51,2.0,0,1540
38,"Jun 28, 2019",0.02,,0.05,0,21102,XLF,30.0,3.05,2.58,2.97,0,199
